qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.09943270683288574,0.17779922485351562,0.1799602508544922,0.14847159385681152,0.17914223670959473,0.21616196632385254,0.13341307640075684
0.10321259498596191,0.18036413192749023,0.1813642978668213,0.15760445594787598,0.16947126388549805,0.21663117408752441,0.13369035720825195
0.10297489166259766,0.1788043975830078,0.16729307174682617,0.15776896476745605,0.16511106491088867,0.22101211547851562,0.1338796615600586
0.10292983055114746,0.17696070671081543,0.16671037673950195,0.16001510620117188,0.16462135314941406,0.21862220764160156,0.13447046279907227
0.10264968872070312,0.17577099800109863,0.18565940856933594,0.15367341041564941,0.1734771728515625,0.21608948707580566,0.13542771339416504
0.10301351547241211,0.17861056327819824,0.17542028427124023,0.15854501724243164,0.18058156967163086,0.2155451774597168,0.13492131233215332
0.10114359855651855,0.17396974563598633,0.17137932777404785,0.15292906761169434,0.18455004692077637,0.21631479263305664,0.13374805450439453
0.10208725929260254,0.1750657558441162,0.18163657188415527,0.15955781936645508,0.1653282642364502,0.2219994068145752,0.13257837295532227
0.09978818893432617,0.17400479316711426,0.17659401893615723,0.16824102401733398,0.17144131660461426,0.21684980392456055,0.13340282440185547
0.10071063041687012,0.18135929107666016,0.18709969520568848,0.16204380989074707,0.1698150634765625,0.21755242347717285,0.13434934616088867
0.10004615783691406,0.18313074111938477,0.17467951774597168,0.15692424774169922,0.1747426986694336,0.21587467193603516,0.13399577140808105
0.11444973945617676,0.1802349090576172,0.17596197128295898,0.1532425880432129,0.1865077018737793,0.21924948692321777,0.13426542282104492
0.1124734878540039,0.1749567985534668,0.19295835494995117,0.17187118530273438,0.1682424545288086,0.21680331230163574,0.13584423065185547
0.11081576347351074,0.17828035354614258,0.18138527870178223,0.16808152198791504,0.1705160140991211,0.2172079086303711,0.1376655101776123
0.1127769947052002,0.18175888061523438,0.1755845546722412,0.16202569007873535,0.17572236061096191,0.21623706817626953,0.1321423053741455
0.10533857345581055,0.17375874519348145,0.17541050910949707,0.16964459419250488,0.16904401779174805,0.21603894233703613,0.1370410919189453
0.09745931625366211,0.18110060691833496,0.1741797924041748,0.1783595085144043,0.16732192039489746,0.22157859802246094,0.1332552433013916
